category,domain,title,url
interest_rate,new10.com,Alles over rente,https://new10.com/rente
interest_rate,new10.com,Alles over rente voor je zakelijke lening | New10,https://new10.com/rente
interest_rate,capitalbox.nl,Hebt u zich ooit afgevraagd hoe banken en kredietverstrekkers bepalen hoeveel rente u moet betalen over uw zakelijke lening?,http://www.capitalbox.nl/blog/hebt-u-zich-ooit-afgevraagd-hoe-banken-en-kredietverstrekkers-bepalen-hoeveel-rente-u-moet
interest_rate,swishfund.nl,Rente op een zakelijke lening | Swishfund,https://www.swishfund.nl/zakelijke-lening-rente
interest_rate,swishfund.nl,Rente op een zakelijke lening | Swishfund,https://www.swishfund.nl/zakelijke-lening-rente
interest_rate,qeld.nl,Wat is de rente voor de zakelijke lening? - Vragen | Qeld,https://www.qeld.nl/info/wat-is-de-rente-voor-de-bedrijfslening
interest_rate,qeld.nl,Zakelijke Lening Rente - Wat is het rentepercentage? | Qeld,https://www.qeld.nl/zakelijke-lening/rente
interest_rate,qeld.nl,Business Loan Interest Rate - What is the Interest Rate? | Qeld,https://www.qeld.nl/en/business-loan/interest-rate
calculator,new10.com,Zakelijk krediet berekenen,https://new10.com/zakelijk-krediet-berekenen
calculator,new10.com,Cashflow berekenen: zo krijg je grip op je geldstromen,https://new10.com/blog/cashflow-berekenen
calculator,new10.com,Zakelijke lening berekenen,https://new10.com/zakelijke-lening-berekenen
calculator,capitalbox.nl,Verbeter jouw financiële positie - bereken solvabiliteit,http://www.capitalbox.nl/blog/bereken-solvabiliteit
calculator,capitalbox.nl,De rentabiliteitsberekening is de grondslag van een gezond bedrijf,http://www.capitalbox.nl/blog/rentabiliteitsberekening
calculator,capitalbox.nl,Zakelijke leningen berekenen | Bereken hier uw zakelijke lening in 4 eenvoudige stappen,http://www.capitalbox.nl/zakelijke-leningen-berekenen
calculator,floryn.com,Cashflow berekenen? Floryn legt het je in 3 minuten uit,https://www.floryn.com/cashflow-berekenen
calculator,floryn.com,Hoe wordt de wekelijkse aflossing berekend?,https://www.floryn.com/kennisbank/wekelijkse-incasso
calculator,floryn.com,Wat zijn opnamekosten en hoe worden deze berekend?,https://www.floryn.com/kennisbank/wat-zijn-opnamekosten-en-hoe-worden-deze-berekend
calculator,swishfund.nl,How do you calculate working capital? | Swishfund,https://www.swishfund.nl/blog/hoe-bereken-je-werkkapitaal
calculator,swishfund.nl,How do you calculate the profitability of your company? | Swishfund,https://www.swishfund.nl/blog/hoe-bereken-je-de-rentabiliteit-van-je-bedrijf
calculator,swishfund.nl,Solvabiliteit: wat is het en hoe kun je het berekenen? | Swishfund,https://www.swishfund.nl/blog/solvabiliteit-wat-is-het-en-hoe-kun-je-het-berekenen
calculator,qeld.nl,Business loan calculator - Calculate the costs of a loan,https://www.qeld.nl/en/business-loan/calculator
calculator,qeld.nl,Zakelijke lening berekenen - Kosten berekenen van een lening | Qeld,https://www.qeld.nl/zakelijke-lening/zakelijke-lening-berekenen
